,Stat,Dave,Maggie,Toby,Sally,Rob H,Sue,Fabian,Martin,Paul,Rob V,Hugo,Tom,Ben
0,p-value,0.10746106,0.99992119,0.9290191,0.48859328,0.00364093,0.01621923,0.99779317,0.48604672,7.5e-07,0.43532165,0.5645726,0.65996755,0.18933574
1,mean,4.007462686567164,4.0,4.048387096774194,4.1752136752136755,3.925512104283054,4.311946902654867,4.113924050632911,4.00235294117647,4.520599250936329,3.9722222222222223,4.035812672176308,4.185185185185185,6.0
2,st. dev.,1.0221156625901913,1.0992421631894098,1.0401384905611215,1.0915687748558671,1.0037364869038718,1.1219999198705504,1.0652232796845478,1.0140166457141948,1.0504800117710593,1.031524701534841,1.015763409338642,0.9934135434711718,0.0
