names,Dave,Maggie,Toby,Sally,Rob H,Sue,Fabian,Martin,Paul,Rob V,Hugo,Tom,Ben
Dave,,0.99999926,0.35096998,0.051351,0.91787166,0.00208945,0.51699931,0.99991198,2.8e-07,0.8715822,0.99996944,0.30897278,0.1452514
Maggie,0.99999926,,0.99999951,0.9997593,0.99283044,0.7267678,0.9988073,0.99999987,0.12580072,0.99977166,0.99997759,0.84139709,0.24489796
Toby,0.35096998,0.99999951,,0.68515965,0.06459015,0.21558235,0.89765969,0.68919479,0.00034941,0.66399777,0.71759073,0.71023934,0.15026834
Sally,0.051351,0.9997593,0.68515965,,0.0055415,0.54143679,0.93451542,0.16028745,0.00536221,0.32623538,0.18525789,0.92165557,0.23880597
Rob H,0.91787166,0.99283044,0.06459015,0.0055415,,0.00011168,0.12340655,0.94423908,1e-08,0.99847277,0.54431473,0.08642923,0.13011152
Sue,0.00208945,0.7267678,0.21558235,0.54143679,0.00011168,,0.15232674,0.01210623,0.11096456,0.06456865,0.01678241,0.79364037,0.28256071
Fabian,0.51699931,0.9988073,0.89765969,0.93451542,0.12340655,0.15232674,,0.84237498,0.00032884,0.81529935,0.85825555,0.5359253,0.19789474
Martin,0.99991198,0.99999987,0.68919479,0.16028745,0.94423908,0.01210623,0.84237498,,3.88e-06,0.95768959,0.9957211,0.35665448,0.17840376
Paul,2.8e-07,0.12580072,0.00034941,0.00536221,1e-08,0.11096456,0.00032884,3.88e-06,,0.00071437,7.68e-06,0.04588238,0.34328358
Rob V,0.8715822,0.99977166,0.66399777,0.32623538,0.99847277,0.06456865,0.81529935,0.95768959,0.00071437,,0.6092218,0.16528491,0.22018349
Hugo,0.99996944,0.99997759,0.71759073,0.18525789,0.54431473,0.01678241,0.85825555,0.9957211,7.68e-06,0.6092218,,0.53253849,0.15384615
Tom,0.30897278,0.84139709,0.71023934,0.92165557,0.08642923,0.79364037,0.5359253,0.35665448,0.04588238,0.16528491,0.53253849,,0.17894737
Ben,0.1452514,0.24489796,0.15026834,0.23880597,0.13011152,0.28256071,0.19789474,0.17840376,0.34328358,0.22018349,0.15384615,0.17894737,
